p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
5.08288891127779e-16	0.390832820465824	1	0.573	1.38671375277481e-11	0	neurog1
7.43051530608005e-05	0.278583486144866	0.358	0.193	1	0	prpf3
0.000419865410213623	0.358317347943311	0.514	0.332	1	0	dbx1a
0.000514520735253604	0.190500101632914	0.321	0.171	1	0	slc25a1a
0.000708112412432545	0.203572858461327	0.734	0.611	1	0	ppig
0.00106233207653237	0.217593315581243	0.725	0.614	1	0	ppih
0.00228771859980457	0.406762899443195	0.257	0.133	1	0	her3
0.00240013063265288	0.227950850797143	0.422	0.291	1	0	cd2bp2
0.00249891954634805	0.245547372471959	0.661	0.582	1	0	hypk
0.00291118603728309	0.214465367554055	0.459	0.32	1	0	si:ch73-105m5.1
0.00355874485815321	0.294104235817295	0.486	0.345	1	0	dbx1b
0.00408746417612494	0.207140259039822	0.541	0.411	1	0	si:ch73-308l14.2
0.00510217134613243	0.230376804620943	0.817	0.769	1	0	eif4a3
0.0061517581063142	0.209343345077509	0.56	0.472	1	0	sept12
0.00761417700086845	0.264513794556868	0.972	0.873	1	0	her4.1
0.00925553422371731	0.203835163898001	0.633	0.513	1	0	CABZ01093502.1
0.012671492202312	0.208694517443521	0.569	0.522	1	0	st13
0.0140617025932975	0.206176472326609	0.394	0.291	1	0	ss18l2
0.0150778081781543	0.20952012103622	0.514	0.396	1	0	plk1
0.0195018658227714	0.195060371618417	0.844	0.734	1	0	rnd1b
0.0260695591373982	0.193905848695163	1	0.949	1	0	her4.2.1
0.032446772047677	0.189083778022776	0.514	0.43	1	0	myg1
0.0345279367422777	0.222302677231062	0.349	0.266	1	0	g2e3
0.0433025778775048	0.190058786779248	0.982	0.959	1	0	si:ch211-193l2.4
0.05798154626726	0.211745962494387	0.385	0.332	1	0	tra2b
0.0989004220789182	0.206112012075862	0.459	0.399	1	0	scube2
0.11836273079741	0.188961166816014	0.67	0.639	1	0	fam133b
0.201992122263434	0.228843714462033	0.505	0.462	1	0	tmsb
0.297494922014751	0.28233869286122	0.752	0.737	1	0	her4.3
