p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.60190516402728	0.846	0.062	0	0	barhl2
7.92260215687786e-228	1.83751875398828	0.577	0.028	2.16144432043942e-223	0	barhl1a
7.67845553240069e-205	2.13097961146097	0.696	0.077	2.09483623834956e-200	0	alcama
2.49679891177294e-185	1.72709674757103	0.788	0.129	6.81176679109894e-181	0	nrn1a
2.65295202802536e-177	1.33091652569954	0.5	0.031	7.23778372285878e-173	0	lhx9
7.71552177256374e-96	0.942326443607612	0.256	0.012	2.10494864999084e-91	0	lhx2b
2.36992588865313e-93	1.08398648186376	0.933	0.441	6.46563180942347e-89	0	zfhx3
5.84374889424438e-85	1.04538474261224	0.897	0.439	1.59429157332775e-80	0	gpm6ab
5.32212807439389e-82	1.09167031201334	0.878	0.437	1.45198298125614e-77	0	zfhx4
6.59479130619479e-79	0.70813947307933	1	0.97	1.79919096415606e-74	0	ptmaa
5.98456506820681e-76	1.16271926149995	0.744	0.276	1.63270904190818e-71	0	mab21l2
5.97512978675487e-70	1.12666169798332	0.545	0.148	1.63013490842246e-65	0	adcyap1b
1.6529476893253e-65	0.987855713624703	0.824	0.461	4.50957188601729e-61	0	epb41a
9.60348261375868e-64	0.628429465400397	0.997	0.939	2.62002212668564e-59	0	tuba1c
3.27447679129458e-50	1.10640261363105	0.679	0.336	8.93342758200987e-46	0	ebf3a
1.50029249685279e-44	0.884160424729862	0.679	0.315	4.09309798991378e-40	0	scrt1a
2.59170155657257e-41	0.759216833259591	0.827	0.595	7.07068018664129e-37	0	tnrc6c1
2.87949911277752e-39	0.865068712186131	0.455	0.167	7.85584947947962e-35	0	ebf1a
3.96062359213363e-33	0.717121096420084	0.292	0.081	1.0805373284059e-28	0	tshz3b
5.54830778700498e-32	0.79695414325254	0.59	0.296	1.5136893304507e-27	0	pou2f2a.1
5.98155343863633e-31	0.71239475891414	0.731	0.529	1.63188740912876e-26	0	chd4b
4.51019976402152e-29	0.928019814003297	0.288	0.086	1.23047269962035e-24	0	scrt1b
2.16490145986397e-26	0.707913840953629	0.571	0.328	5.90628416280089e-22	0	fez1
5.77309425755073e-26	0.733204891386457	0.442	0.21	1.57501557534499e-21	0	cadm4
1.53179694247274e-24	0.697592836874311	0.397	0.181	4.17904841845413e-20	0	phc2b
1.68322470349404e-24	0.762214704978214	0.599	0.368	4.59217363607244e-20	0	pik3r3b
1.86784211128563e-23	0.657923380923494	0.407	0.194	5.09584684800945e-19	0	rarga
2.48944449936339e-23	0.644680916748075	0.542	0.292	6.7917024831632e-19	0	mllt11
4.55053115827917e-22	0.673396006490252	0.638	0.408	1.24147591060172e-17	0	nhlh2
1.74836979398578e-17	0.671627946779604	0.381	0.194	4.76990247195201e-13	0	CBFA2T3
3.717724268454e-107	1.09811010493164	0.987	0.44	1.01426953491962e-102	1	sb:cb81
1.06876387194633e-105	1.21525500323243	0.981	0.487	2.91580159544397e-101	1	id1
4.34665834836433e-104	1.0955120230186	0.997	0.55	1.18585533060076e-99	1	si:ch73-21g5.7
2.0232293041609e-96	1.15401597062729	0.997	0.612	5.51977418761178e-92	1	her12
6.06101188130421e-90	1.11993836850184	0.984	0.553	1.65356526145741e-85	1	si:ch211-193l2.3
1.37459744500341e-89	0.950159485055796	0.695	0.191	3.75017674945831e-85	1	her8a
2.16030276821455e-85	1.05246226548962	0.35	0.041	5.89373801224294e-81	1	CABZ01093502.1
1.45379940353478e-83	0.991857389697668	0.428	0.069	3.96625553272359e-79	1	sox21a
6.2321257176273e-83	1.04424344964629	0.987	0.53	1.70024853828308e-78	1	her4.2.1
1.24468392913038e-82	0.924102078822896	0.46	0.082	3.3957466954535e-78	1	sp8a
1.58095196843946e-82	1.03822335428528	0.971	0.462	4.31315316029653e-78	1	her4.4
8.76816016215102e-81	0.998038815975357	0.707	0.218	2.39212945543804e-76	1	plp1a
3.20384096632787e-78	0.983446764792856	0.801	0.287	8.74071892433571e-74	1	gas1b
5.4342578632111e-77	0.821464241100076	0.887	0.36	1.48257423024125e-72	1	sdc4
