p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
3.18126632213803e-31	1.0257436453788	1	0.374	8.67913078005697e-27	0	neurog1
1.22663647433486e-27	0.963923500490079	1	0.416	3.34650962928036e-23	0	neurod4
5.96085192743074e-15	0.633921672129973	0.94	0.751	1.62623962284165e-10	0	dla
3.41132929769004e-14	0.351396076013544	1	1	9.30678858995796e-10	0	AL929185.2
4.08188702964371e-14	0.61237158539292	0.897	0.6	1.1136204194274e-09	0	dld
1.14695791711972e-12	0.335543380203643	1	0.995	3.12913058948603e-08	0	si:ch211-193l2.7
7.38710931183083e-11	0.645061791293263	0.534	0.229	2.01535116245369e-06	0	nhlh2
1.41596887234464e-10	0.608758785366086	0.784	0.475	3.86304627753065e-06	0	elavl3
5.354725779845e-10	0.596788491905916	0.595	0.278	1.46087628725731e-05	0	cep131
1.27196699049535e-09	0.286389663102586	1	0.992	3.4701803434694e-05	0	hmgn6
4.89019738499775e-09	0.599402747780059	0.612	0.309	0.000133414365057508	0	dlb
6.66938307630649e-09	0.464756734381798	0.483	0.208	0.000181954109087794	0	ebf2
1.88456517810612e-08	0.45781134944196	0.422	0.171	0.000514147071890911	0	syne2b
2.37766337707053e-08	0.551923820200896	0.534	0.249	0.000648674122532382	0	fstl1a
5.37397477330519e-08	0.927710458965989	0.345	0.127	0.00146612779765312	0	otpb
7.74790091035111e-08	0.422749929519533	0.336	0.117	0.00211378232636199	0	im:7152348
1.06516269159376e-07	0.45509805360292	0.733	0.491	0.00290597685520608	0	yaf2
1.1198207867615e-07	0.328240605995491	1	0.953	0.00305509507044273	0	si:ch211-222l21.1
2.07321416251727e-07	0.449227490915429	0.612	0.335	0.00565614287817961	0	rasgef1ba
2.7029385410709e-07	0.454323321086584	0.534	0.283	0.00737415692774964	0	ascl1b.1
2.97890094810754e-07	0.534411272586284	0.362	0.151	0.00812703756662698	0	CU693502.1
2.98284988509122e-07	0.415712497747166	0.871	0.701	0.00813781105650586	0	rtca
