p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
4.93788478877226e-299	0.841579700009084	0.923	0.281	1.34715372807285e-294	0	dkc1
2.77706681220749e-297	0.95311796596875	0.991	0.465	7.57639367706448e-293	0	snu13b
7.59726469059402e-295	1.04234874642351	0.997	0.507	2.07268575288786e-290	0	npm1a
1.41487550963923e-288	0.885311008363276	0.999	0.612	3.86006336539774e-284	0	cnbpa
7.05691425469011e-285	0.856851264765304	0.96	0.361	1.92526734696456e-280	0	nhp2
3.34205521663368e-281	0.844852574753226	0.831	0.229	9.11779504202e-277	0	fsta
3.91227859279894e-278	0.851459779473176	0.974	0.381	1.06734784568741e-273	0	fbl
2.27972752737738e-275	0.901292054498745	0.995	0.63	6.21955264019097e-271	0	ncl
9.22998022269533e-274	0.792643026825016	0.954	0.349	2.51812320435574e-269	0	rpa2
2.12339697595861e-263	0.849914794873969	0.977	0.444	5.79305162981028e-259	0	nop10
3.15447607238317e-263	0.852397441193676	0.972	0.403	8.60604162067575e-259	0	nop58
1.92979323132791e-259	0.685134596864718	1	0.824	5.2648618937088e-255	0	serbp1a
1.10235607113341e-256	0.942457363925451	0.997	0.452	3.00744783326616e-252	0	pcna
4.06632520759632e-249	0.683413185478222	0.863	0.273	1.10937484313643e-244	0	kpnb3
1.89585750348817e-246	0.788435658812976	0.979	0.421	5.17227844101642e-242	0	seph
7.79791728978005e-245	0.905807960287239	0.995	0.476	2.12742779499779e-240	0	ccnd1
3.62107732447004e-244	0.922267195062679	0.869	0.297	9.87902315661917e-240	0	hells
4.68617899652717e-242	0.752721312581317	0.831	0.262	1.27848335383254e-237	0	mcm6
2.67733357560749e-239	0.775415985208378	0.953	0.381	7.30430146097237e-235	0	rpa3
2.36219785833567e-238	0.739462019354733	0.942	0.375	6.44454819711137e-234	0	prps1a
2.16437479074656e-229	0.795501182350596	0.981	0.401	5.90484730411477e-225	0	rrm2
9.12250051760957e-227	0.755716515083934	0.993	0.516	2.48880059121424e-222	0	anp32b
7.84485555532073e-225	0.795934326578705	0.994	0.496	2.1402334926026e-220	0	banf1
9.73108154026929e-220	0.713369396393677	0.998	0.617	2.65483366581627e-215	0	ranbp1
6.36387803262597e-216	0.747181592885158	0.972	0.468	1.73619320486102e-211	0	sox19a
1.43507598352225e-203	0.729514676919123	0.813	0.276	3.91517429824541e-199	0	mcm3
2.6632095994828e-202	0.715303061935474	0.997	0.472	7.26576842930897e-198	0	cldn5a
1.32406554130211e-201	0.716356688237346	0.665	0.186	3.61231560978043e-197	0	rgcc
2.40464767103865e-195	0.786610911168597	0.992	0.621	6.56035977612765e-191	0	her2
2.78499895572648e-176	0.84879431723823	0.961	0.543	7.59803415101298e-172	0	her4.3
0	1.74677161860274	0.924	0.188	0	1	BX465834.1
