p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
4.93788478877226e-299	0.841579700009084	0.923	0.281	1.34715372807285e-294	0	dkc1
2.77706681220749e-297	0.95311796596875	0.991	0.465	7.57639367706448e-293	0	snu13b
7.59726469059402e-295	1.04234874642351	0.997	0.507	2.07268575288786e-290	0	npm1a
1.41487550963923e-288	0.885311008363276	0.999	0.612	3.86006336539774e-284	0	cnbpa
6.41413608846704e-286	0.441053292113645	1	1	1.74990460765558e-281	0	RPL41
7.05691425469011e-285	0.856851264765304	0.96	0.361	1.92526734696456e-280	0	nhp2
3.34205521663368e-281	0.844852574753226	0.831	0.229	9.11779504202e-277	0	fsta
3.91227859279894e-278	0.851459779473176	0.974	0.381	1.06734784568741e-273	0	fbl
2.27972752737738e-275	0.901292054498745	0.995	0.63	6.21955264019097e-271	0	ncl
9.22998022269533e-274	0.792643026825016	0.954	0.349	2.51812320435574e-269	0	rpa2
2.12339697595861e-263	0.849914794873969	0.977	0.444	5.79305162981028e-259	0	nop10
3.15447607238317e-263	0.852397441193676	0.972	0.403	8.60604162067575e-259	0	nop58
1.92979323132791e-259	0.685134596864718	1	0.824	5.2648618937088e-255	0	serbp1a
1.10235607113341e-256	0.942457363925451	0.997	0.452	3.00744783326616e-252	0	pcna
4.80422393455566e-250	0.671560329670708	0.817	0.239	1.31068837382548e-245	0	cad
4.06632520759632e-249	0.683413185478222	0.863	0.273	1.10937484313643e-244	0	kpnb3
1.89585750348817e-246	0.788435658812976	0.979	0.421	5.17227844101642e-242	0	seph
7.79791728978005e-245	0.905807960287239	0.995	0.476	2.12742779499779e-240	0	ccnd1
3.62107732447004e-244	0.922267195062679	0.869	0.297	9.87902315661917e-240	0	hells
1.198395900407e-242	0.645166187910018	0.822	0.253	3.26946369549039e-238	0	odc1
4.68617899652717e-242	0.752721312581317	0.831	0.262	1.27848335383254e-237	0	mcm6
2.67733357560749e-239	0.775415985208378	0.953	0.381	7.30430146097237e-235	0	rpa3
4.77331860933499e-239	0.554386307057458	0.729	0.183	1.30225678299877e-234	0	nop2
2.36219785833567e-238	0.739462019354733	0.942	0.375	6.44454819711137e-234	0	prps1a
1.41376406443e-232	0.681624954652797	1	0.812	3.85703112057793e-228	0	zgc:56493
1.84704071517116e-232	0.661502719293762	1	0.772	5.03909647912995e-228	0	setb
1.04529089507327e-230	0.60143151178521	0.768	0.212	2.8517626199389e-226	0	surf6
2.16437479074656e-229	0.795501182350596	0.981	0.401	5.90484730411477e-225	0	rrm2
4.33831677560604e-228	0.596727599075223	0.843	0.267	1.18357958272084e-223	0	polr2h
9.12250051760957e-227	0.755716515083934	0.993	0.516	2.48880059121424e-222	0	anp32b
9.43641034241546e-226	0.520776900323977	0.69	0.176	2.57444146961779e-221	0	mrto4
